Variable,L_DATA,L_TYPE,L_BRAND,L_STRATEGIC PILLAR,L_DEMOGRAPHIC,L_MARKETINGSEGMENT,L_CAMPAIGN,L_PROGRAM,L_PROGRAMCATEGORY,L_ACTIVITY,L_METRIC,Data,Type,BRAND,STRATEGIC PILLAR,DEMOGRAPHIC,MARKETINGSEGMENT,CAMPAIGN,PROGRAM,PROGRAMCATEGORY,ACTIVITY,METRIC,var_wo_metric, spend 1 yr , spend 3 yrs ,APL,sign,Priority
CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_147_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,H00,147,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,H00,147,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_147_CRH,718777.5259,2944931.738,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_148_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,H00,148,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,H00,148,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_148_CRH,716519.3331,1608621.554,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_165_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,H00,165,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,H00,165,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_165_CRH,787828.4455,958498.2941,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_O66_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,H00,o66,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,H00,o66,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_O66_CPH,644216.9078,938533.4205,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_O67_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,H00,o67,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,H00,o67,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_H00_O67_CPH,976962.4309,539852.1522,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_289_CMU_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,289,CMU,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,289,Cons Multiple/Unspecified,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_289_CMU,285053.6333,1215596.328,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_429_CPM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,429,CPM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,429,Cons Postpaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_429_CPM,250582.6303,2868569.343,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_454_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,454,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,454,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_454_CPH,61108.50043,2596943.675,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_455_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,455,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,455,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_455_CPH,487885.6687,646890.343,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_459_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,459,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,459,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_459_CPH,237469.4739,2880444.378,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_460_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,460,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,460,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_460_CPH,675244.6449,1032968.177,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_461_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,461,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,461,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_461_CPH,57506.54567,209523.5272,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_462_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,462,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,462,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_462_CPH,27236.51359,2847656.452,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_641_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,641,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,641,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_641_CRM,146925.9723,2927284.653,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_642_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,642,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,642,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_642_CRM,811050.684,470205.8321,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_643_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,643,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,643,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_643_CRM,384355.4953,2007045.423,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_644_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,644,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,644,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_644_CRM,188523.8356,1225439.602,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_668_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,668,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,668,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_668_CRH,283837.976,859633.9856,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_669_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,669,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,669,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_669_CRH,483578.0495,2067940.412,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_670_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,670,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,670,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_670_CRH,143256.0233,2621442.754,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_671_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,671,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,671,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_671_CRH,849953.1271,2800968.864,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_672_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,672,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,672,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_672_CRH,210844.7429,1942060.054,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_673_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,673,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,673,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_673_CRH,123211.6947,1880476.466,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_674_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,674,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,674,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_674_CRH,785069.5176,721017.9658,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_675_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,675,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,675,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_675_CRH,731988.3183,2802030.432,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_676_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,676,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,676,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_676_CRH,447024.5057,2699463.203,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_677_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,677,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,677,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_677_CRH,75017.69853,1572208.661,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_678_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,678,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,678,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_678_CRH,654537.4527,1962944.114,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_679_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,679,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,679,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_679_CRH,822609.8127,2691968.094,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_680_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,680,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,680,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_680_CRH,1409.62036,2414897.528,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_681_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,681,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,681,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_681_CRH,534420.7805,922961.2302,No,NEG,100
