X,var,Estimate,Std..Error,t.value,Pr...t..,Dependent,Independent,AGM,Data,Type,BRAND,STRATEGIC.PILLAR,DEMOGRAPHIC,MARKETINGSEGMENT,CAMPAIGN,PROGRAM,PROGRAMCATEGORY,ACTIVITY,METRIC,spend_1Year,spend_3Year,fname,Dependent_Variable,Dependent_Demography,Dependent_Metric
1,(Intercept),417.6868049,21.23283075,19.67174371,2.27E-40,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,(Intercept),AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,XXXX,NA,NA,NA,NA,11460.74384,24229.80783,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
2,(Intercept),16.04487145,4.852206776,3.306716343,0.001184775,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,(Intercept),AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44664.31521,93815.49408,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
3,(Intercept),0.718487323,1.245810148,0.576722965,0.564991084,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK_10_80_0,(Intercept),AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2993.687406,249604.6491,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
4,CRL_CMP_O94_XXX_XXX_RMC_NAT_PRE_CMB_ONL_AUD,-0.263996045,0.21095583,-1.251428061,0.213078548,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,CRL_CMP_O94_XXX_XXX_RMC_NAT_PRE_CMB_ONL_AUD_70_30_0,AUSTRALIAN CAPITAL TERRITORY,Control,Competitor Media,TravelSIM,Unknown,XXX,RETAIL MARKETING - Consumer,NATIONAL,Prepaid Handheld,Consumer - Mobility,Online,Spend,20104.10506,222167.0527,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
5,CRL_NPS_XXX_XXX_XXX_CON_LOC_XXX_CRH_OPR_PSV,0.387331428,0.28841304,1.342974742,0.181675335,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,CRL_NPS_XXX_XXX_XXX_CON_LOC_XXX_CRH_OPR_PSV,AUSTRALIAN CAPITAL TERRITORY,Control,Operational NPS,XXX,Unknown,XXX,CONSUMER,LOCAL,XXX,CONS PREPAID MOBILE HH,OPR,PASSIVE,96329.53783,146077.8697,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
6,CRL_NPS_XXX_XXX_XXX_CON_NAT_XXX_CMU_OPR_NPS,0.306199546,0.176734126,1.732543415,0.085604464,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,CRL_NPS_XXX_XXX_XXX_CON_NAT_XXX_CMU_OPR_NPS,AUSTRALIAN CAPITAL TERRITORY,Control,Operational NPS,XXX,Unknown,XXX,CONSUMER,NATIONAL,XXX,CONS MULTIPLE/UNSPECIFIED,OPR,NPS,68021.71057,207010.3816,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
7,DUMMY_CRH_CON_ACT_020813_020813_SPK_GYZ_REG,98.4310086,39.7469499,2.476441811,0.014585567,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_020813_020813_SPK_GYZ_REG,AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28130.76258,175332.2236,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
8,DUMMY_CRH_CON_ACT_090813_090813_SPK_GYZ_REG,43.03422837,40.63366769,1.05907812,0.291574351,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_090813_090813_SPK_GYZ_REG,AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26905.72271,126359.4374,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
9,DUMMY_CRH_CON_ACT_180113_041215_TRD_GYZ_REG,-1.999998224,0.285259604,-7.011151224,1.24E-10,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_180113_041215_TRD_GYZ_REG,AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84270.75442,26417.64803,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
10,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,-48.99381491,50.07138651,-0.978479294,0.329697557,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,AUSTRALIAN CAPITAL TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88880.55798,226880.1398,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
11,ECO_MCR_XXX_XXX_XXX_XXX_NAT_XXX_INC_NEU_IDX,-0.660516507,0.351417054,-1.879580116,0.062456692,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,ECO_MCR_XXX_XXX_XXX_XXX_NAT_XXX_INC_NEU_IDX,AUSTRALIAN CAPITAL TERRITORY,Control,Macroeconomic,XXX,Unknown,XXX,XXX,NATIONAL,XXX,"DATA PROCESSING, WEB HOSTING AND ELECTRONIC INFORMATION STORAGE SERVICES ",NEUTRAL,INDEX NUMBERS,20853.9274,209521.778,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
12,LOC_BTL_OWN_XXX_GYZ_MES_MUL_PPD_CRM_DML_VOL,0.23282837,0.224038983,1.039231507,0.300671572,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_BTL_OWN_XXX_GYZ_MES_MUL_PPD_CRM_DML_VOL_30_30_0,AUSTRALIAN CAPITAL TERRITORY,LOC,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,MULTIPLE,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Direct Mail,VOLUME,37015.33911,121131.275,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
13,LOC_RTL_OWN_XXX_XXX_RMC_G20_CCT_RIS_ACI_VOL,0.365545803,0.24104345,1.516514151,0.131874582,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_RTL_OWN_XXX_XXX_RMC_G20_CCT_RIS_ACI_VOL_10_80_0,AUSTRALIAN CAPITAL TERRITORY,LOC,Retail Marketing,XXXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,14/15 CHANNEL MARKETING CONSUMER CATALOG,CONSUMER CATALOGUE,Retail Channel Marketing,CATALOGUE - INSTORE,VOLUME,53311.66414,49683.71963,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
14,LOC_TRA_TTL_XXX_XXX_RMC_MUL_CLM_RIS_RAD_IMP,0.825175718,0.278936411,2.95829331,0.003690654,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_MUL_CLM_RIS_RAD_IMP_80_30_0,AUSTRALIAN CAPITAL TERRITORY,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,MULTIPLE,CONSUMER LAM,Retail Channel Marketing,RADIO,IMPRESSIONS,63549.8923,281026.875,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
15,LOC_TRA_TTL_XXX_XXX_RMC_N84_PRE_CMB_TVC_GRP,1.860739442,0.389047382,4.782809311,4.71E-06,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_N84_PRE_CMB_TVC_GRP_70_40_1,AUSTRALIAN CAPITAL TERRITORY,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,NONE,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-FREE TO AIR,GRP/TARP,59327.23417,45536.73018,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
16,LOC_TRA_XXX_XXX_XXX_RMC_MUL_PRE_CMB_ODR_AUD,0.49334547,0.210671631,2.341774579,0.020748549,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_XXX_XXX_XXX_RMC_MUL_PRE_CMB_ODR_AUD_80_30_3,AUSTRALIAN CAPITAL TERRITORY,LOC,Traditional Media,XXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,MULTIPLE,PREPAID HANDHELD,CONSUMER - MOBILITY,OUTDOOR,SPEND,34506.63944,264990.3099,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
17,NAT_BTL_OWN_XXX_GYZ_MES_L19_PPD_CRM_EML_VOL,0.287083242,0.219065868,1.310488234,0.19239577,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_BTL_OWN_XXX_GYZ_MES_L19_PPD_CRM_EML_VOL_60_30_0,AUSTRALIAN CAPITAL TERRITORY,NAT,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,TC_PSTN_RIGHTPLANNING_EDM_DM_OTM,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Email,VOLUME,84028.84745,54989.55735,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
18,NAT_BTL_OWN_XXX_GYZ_MES_O68_PPD_CRM_SMS_VOL,0.737637206,0.222009638,3.322545867,0.001165453,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_BTL_OWN_XXX_GYZ_MES_O68_PPD_CRM_SMS_VOL_80_30_0,AUSTRALIAN CAPITAL TERRITORY,NAT,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,NEW WELCOME SMS,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,SMS,VOLUME,17340.07094,66082.76464,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
19,NAT_DIG_XXX_XXX_XXX_DIG_G39_AHM_CDM_AFC_CAL,0.236378493,0.184675911,1.279963866,0.202890963,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_G39_AHM_CDM_AFC_CAL_10_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,HOME,AT HOME,CONSUMER - DIGITAL MARKETING,AFFILIATE CALLS,CALLS,58593.85359,192471.0967,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
20,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK,0.08515966,0.022929248,3.714018835,0.000287138,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK_10_80_0,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,XXXX POST-PAID AO,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE AFFILIATE CLICKS,CLICKS,23500.06152,44234.26069,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
21,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK,0.576735677,0.345741131,1.668114162,0.097756846,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,XXXX POST-PAID AO,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE AFFILIATE CLICKS,CLICKS,21705.80078,275991.1627,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
22,NAT_DIG_XXX_XXX_XXX_DIG_M29_MOB_CDM_ADD_CLK,0.802812181,0.206736523,3.883262467,0.000154879,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,NAT_DIG_XXX_XXX_XXX_DIG_M29_MOB_CDM_ADD_CLK_10_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY15 Q3 POST-PAID S6,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,65956.63927,249275.9306,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
23,NAT_DIG_XXX_XXX_XXX_DIG_M53_MOB_CDM_ADD_CLK,0.765495243,0.291525714,2.625824095,0.009706242,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M53_MOB_CDM_ADD_CLK_10_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY16 Q1 IPHONE,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,64069.03109,203577.0687,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
24,NAT_DIG_XXX_XXX_XXX_DIG_M58_MOB_CDM_ADD_CLK,0.463722813,0.187482097,2.473424508,0.014513262,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,NAT_DIG_XXX_XXX_XXX_DIG_M58_MOB_CDM_ADD_CLK_10_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY16 Q1 APPLE MUSIC PHASE 2,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,25263.58325,118497.8076,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
25,NAT_DIG_XXX_XXX_XXX_DIG_M58_MOB_CDM_MDS_CLK,0.453283386,0.346386872,1.308604402,0.193031567,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M58_MOB_CDM_MDS_CLK_10_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY16 Q1 APPLE MUSIC PHASE 2,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE DISPLAY,CLICKS,81833.36381,31870.21132,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
